T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
20;10000;asc;132;1937.4;0.01206
20;10000;asc;133;1997.9;0.01261
20;10000;asc;134;2058.5;0.01320
20;10000;asc;135;2119.0;0.01388
20;10000;asc;136;2179.5;0.01406
20;10000;asc;137;2240.1;0.01416
20;10000;asc;138;2300.6;0.01424
20;10000;asc;139;2361.2;0.01442
20;10000;asc;140;2421.7;0.01564
20;10000;asc;141;2482.3;0.01602
20;10000;asc;142;2542.8;0.01598
20;10000;asc;143;2603.3;0.01625
20;10000;asc;144;2663.9;0.01643
20;10000;asc;145;2724.4;0.01678
20;10000;asc;146;2785.0;0.01722
20;10000;asc;147;2845.5;0.01758
20;10000;asc;148;2906.1;0.01824
20;10000;asc;149;2966.6;0.01869
20;10000;asc;150;3027.1;0.01927
20;10000;asc;151;3087.7;0.01977
20;10000;asc;152;3148.2;0.02020
20;10000;asc;153;3208.8;0.02047
20;10000;asc;154;3269.3;0.02066
20;10000;asc;155;3329.9;0.02089
20;10000;asc;156;3390.4;0.02137
20;10000;asc;157;3450.9;0.02189
20;10000;asc;158;3511.5;0.02222
20;10000;asc;159;3572.0;0.02269
20;10000;asc;160;3632.6;0.02336
20;10000;asc;161;3693.1;0.02370
20;10000;asc;162;3753.7;0.02382
20;10000;asc;163;3814.2;0.02397
20;10000;asc;164;3874.7;0.02427
20;10000;asc;165;3935.3;0.02454
20;10000;asc;166;3995.8;0.02470
20;10000;asc;167;4056.4;0.02542
20;10000;asc;168;4116.9;0.02581
20;10000;asc;169;4177.5;0.02591
20;10000;asc;170;4238.0;0.02640
20;10000;asc;171;4298.5;0.02692
20;10000;asc;172;4359.1;0.02731
20;10000;asc;173;4419.6;0.02749
20;10000;asc;174;4480.2;0.02750
20;10000;asc;175;4540.7;0.02763
20;10000;asc;176;4601.3;0.02844
20;10000;asc;177;4661.8;0.02909
20;10000;asc;178;4722.3;0.02920
20;10000;asc;179;4782.9;0.02932
20;10000;asc;180;4843.4;0.02956
20;10000;asc;181;4904.0;0.02987
20;10000;asc;182;4964.5;0.03018
20;10000;asc;183;5025.1;0.03047
20;10000;asc;184;5085.6;0.03092
20;10000;asc;185;5146.1;0.03140
20;10000;asc;186;5206.7;0.03165
20;10000;asc;187;5267.2;0.03191
20;10000;asc;188;5327.8;0.03220
20;10000;asc;189;5388.3;0.03221
20;10000;asc;190;5448.9;0.03236
20;10000;asc;191;5509.4;0.03294
20;10000;asc;192;5569.9;0.03312
20;10000;asc;193;5630.5;0.03348
20;10000;asc;194;5691.0;0.03403
20;10000;asc;195;5751.6;0.03432
20;10000;asc;196;5812.1;0.03436
20;10000;asc;197;5872.7;0.03499
20;10000;asc;198;5933.2;0.03552
20;10000;asc;199;5993.7;0.03610
20;10000;asc;200;6054.3;0.03801
17.5;10000;desc;0;6078.4;0.16678
17.5;10000;desc;1;6017.6;0.16659
